0.089 328.119 100 -0.00416172 0.0903872 176.04 228.119 0.424127 -0.225942 1.10877 
0.09 327.29 100 -0.00480791 0.0916026 175.763 227.29 0.431166 -0.228762 1.11013 
0.091 326.452 100 -0.00545078 0.0928169 175.484 226.452 0.43752 -0.231104 1.11149 
0.092 325.607 100 -0.00609004 0.09403 175.202 225.607 0.443251 -0.233007 1.11284 
0.093 324.757 100 -0.00672546 0.0952418 174.919 224.757 0.448412 -0.234509 1.11418 
0.094 323.904 100 -0.0073568 0.0964523 174.635 223.904 0.453054 -0.235645 1.11552 
0.095 323.047 100 -0.00798387 0.0976613 174.349 223.047 0.457223 -0.236448 1.11685 
0.096 322.19 100 -0.00860649 0.0988688 174.063 222.19 0.460958 -0.236946 1.11816 
0.097 321.332 100 -0.00922449 0.100075 173.777 221.332 0.4643 -0.237167 1.11947 
0.098 320.475 100 -0.00983775 0.101279 173.492 220.475 0.467281 -0.237138 1.12077 
0.099 319.62 100 -0.0104461 0.102482 173.207 219.62 0.469933 -0.23688 1.12206 
0.1 318.767 100 -0.0110495 0.103683 172.922 218.767 0.472285 -0.236416 1.12335 
0.101 317.918 100 -0.0116478 0.104883 172.639 217.918 0.474364 -0.235765 1.12462 
0.102 317.072 100 -0.0122409 0.10608 172.357 217.072 0.476192 -0.234946 1.12588 
0.103 316.231 100 -0.0128288 0.107276 172.077 216.231 0.477793 -0.233975 1.12713 
0.104 315.394 100 -0.0134114 0.10847 171.798 215.394 0.479186 -0.232868 1.12837 
0.105 314.563 100 -0.0139887 0.109663 171.521 214.563 0.480389 -0.231637 1.12959 
0.106 313.738 100 -0.0145605 0.110854 171.246 213.738 0.481419 -0.230297 1.13081 
0.107 312.919 100 -0.015127 0.112042 170.973 212.919 0.482291 -0.228858 1.13202 
0.108 312.107 100 -0.015688 0.113229 170.702 212.107 0.48302 -0.227332 1.13322 
0.109 311.302 100 -0.0162435 0.114414 170.434 211.302 0.483617 -0.225728 1.1344 
0.11 310.503 100 -0.0167935 0.115598 170.168 210.503 0.484095 -0.224055 1.13558 
0.111 309.712 100 -0.017338 0.116779 169.904 209.712 0.484464 -0.222321 1.13674 
0.112 308.928 100 -0.0178771 0.117959 169.643 208.928 0.484733 -0.220534 1.13789 
0.113 308.152 100 -0.0184107 0.119137 169.384 208.152 0.484913 -0.2187 1.13903 
0.114 307.384 100 -0.0189388 0.120313 169.128 207.384 0.485011 -0.216825 1.14016 
0.115 306.624 100 -0.0194614 0.121487 168.875 206.624 0.485034 -0.214916 1.14128 
0.116 305.871 100 -0.0199786 0.12266 168.624 205.871 0.48499 -0.212976 1.14239 
0.117 305.127 100 -0.0204904 0.12383 168.376 205.127 0.484884 -0.211012 1.14348 
0.118 304.39 100 -0.0209967 0.124999 168.13 204.39 0.484723 -0.209026 1.14457 
0.119 303.662 100 -0.0214977 0.126166 167.887 203.662 0.484511 -0.207024 1.14564 
0.12 302.942 100 -0.0219933 0.127331 167.647 202.942 0.484254 -0.205008 1.14671 
0.121 302.23 100 -0.0224835 0.128495 167.41 202.23 0.483955 -0.202981 1.14776 
0.122 301.526 100 -0.0229685 0.129656 167.175 201.526 0.48362 -0.200947 1.1488 
0.123 300.83 100 -0.0234482 0.130816 166.943 200.83 0.483251 -0.198908 1.14983 
0.124 300.142 100 -0.0239227 0.131974 166.714 200.142 0.482852 -0.196867 1.15085 
0.125 299.463 100 -0.024392 0.133131 166.488 199.463 0.482427 -0.194825 1.15186 
0.126 298.791 100 -0.0248561 0.134285 166.264 198.791 0.481977 -0.192785 1.15286 
0.127 298.128 100 -0.0253151 0.135438 166.043 198.128 0.481506 -0.190748 1.15385 
0.128 297.473 100 -0.025769 0.13659 165.824 197.473 0.481016 -0.188716 1.15483 
0.129 296.825 100 -0.0262178 0.137739 165.608 196.825 0.48051 -0.186691 1.15579 
0.13 296.186 100 -0.0266617 0.138887 165.395 196.186 0.479988 -0.184673 1.15675 
0.131 295.554 100 -0.0271006 0.140034 165.185 195.554 0.479454 -0.182664 1.1577 
0.132 294.93 100 -0.0275346 0.141178 164.977 194.93 0.478908 -0.180665 1.15863 
0.133 294.314 100 -0.0279637 0.142321 164.771 194.314 0.478353 -0.178677 1.15956 
0.134 293.706 100 -0.0283879 0.143463 164.569 193.706 0.477789 -0.1767 1.16048 
0.135 293.105 100 -0.0288074 0.144602 164.368 193.105 0.477219 -0.174737 1.16138 
0.136 292.511 100 -0.0292221 0.145741 164.17 192.511 0.476642 -0.172786 1.16228 
0.137 291.926 100 -0.0296321 0.146877 163.975 191.926 0.476061 -0.170849 1.16317 
0.138 291.347 100 -0.0300375 0.148012 163.782 191.347 0.475477 -0.168926 1.16404 
0.139 290.776 100 -0.0304382 0.149146 163.592 190.776 0.474889 -0.167018 1.16491 
0.14 290.212 100 -0.0308343 0.150278 163.404 190.212 0.4743 -0.165125 1.16577 
0.141 289.655 100 -0.0312259 0.151409 163.218 189.655 0.473709 -0.163248 1.16662 
0.142 289.105 100 -0.0316131 0.152538 163.035 189.105 0.473118 -0.161386 1.16746 
0.143 288.562 100 -0.0319957 0.153665 162.854 188.562 0.472527 -0.159541 1.16829 
0.144 288.026 100 -0.032374 0.154791 162.675 188.026 0.471937 -0.157712 1.16911 
0.145 287.497 100 -0.0327479 0.155916 162.499 187.497 0.471348 -0.1559 1.16992 
0.146 286.975 100 -0.0331176 0.157039 162.325 186.975 0.470761 -0.154104 1.17072 
0.147 286.459 100 -0.0334829 0.158161 162.153 186.459 0.470176 -0.152325 1.17151 
0.148 285.95 100 -0.033844 0.159281 161.983 185.95 0.469593 -0.150563 1.1723 
0.149 285.448 100 -0.0342009 0.1604 161.816 185.448 0.469013 -0.148818 1.17307 
0.15 284.952 100 -0.0345537 0.161518 161.651 184.952 0.468437 -0.147091 1.17384 
0.151 284.462 100 -0.0349024 0.162634 161.487 184.462 0.467864 -0.14538 1.1746 
0.152 283.978 100 -0.0352471 0.163749 161.326 183.978 0.467295 -0.143687 1.17535 
0.153 283.501 100 -0.0355877 0.164863 161.167 183.501 0.46673 -0.142011 1.17609 
0.154 283.03 100 -0.0359243 0.165975 161.01 183.03 0.466169 -0.140352 1.17682 
0.155 282.565 100 -0.036257 0.167086 160.855 182.565 0.465612 -0.13871 1.17754 
0.156 282.106 100 -0.0365859 0.168195 160.702 182.106 0.46506 -0.137085 1.17826 
0.157 281.653 100 -0.0369109 0.169304 160.551 181.653 0.464513 -0.135477 1.17897 
0.158 281.205 100 -0.0372321 0.170411 160.402 181.205 0.463971 -0.133887 1.17967 
0.159 280.764 100 -0.0375495 0.171516 160.255 180.764 0.463433 -0.132313 1.18036 
