epsilon_a sigma_a sigma_r epsilon_r epsilon_s p q x x x
0.156 271.393 100 -0.0208369 0.162946 157.131 171.393 0.450635 -0.0978794 1.19527 
0.157 271.079 100 -0.0210697 0.164023 157.026 171.079 0.450304 -0.0967273 1.19579 
0.158 270.768 100 -0.0212997 0.1651 156.923 170.768 0.449973 -0.0955871 1.19629 
0.159 270.461 100 -0.021527 0.166176 156.82 170.461 0.449644 -0.0944589 1.19679 
0.16 270.159 100 -0.0217516 0.167251 156.72 170.159 0.449316 -0.0933425 1.19728 
0.161 269.86 100 -0.0219734 0.168324 156.62 169.86 0.448989 -0.0922379 1.19777 
0.162 269.564 100 -0.0221927 0.169398 156.521 169.564 0.448664 -0.0911452 1.19825 
0.163 269.273 100 -0.0224093 0.17047 156.424 169.273 0.448341 -0.0900642 1.19873 
0.164 268.985 100 -0.0226233 0.171541 156.328 168.985 0.448019 -0.0889949 1.1992 
0.165 268.701 100 -0.0228348 0.172612 156.234 168.701 0.4477 -0.0879372 1.19966 
0.166 268.421 100 -0.0230437 0.173681 156.14 168.421 0.447383 -0.0868911 1.20012 
0.167 268.144 100 -0.0232501 0.17475 156.048 168.144 0.447069 -0.0858565 1.20058 
0.168 267.87 100 -0.0234541 0.175818 155.957 167.87 0.446756 -0.0848333 1.20103 
0.169 267.6 100 -0.0236556 0.176885 155.867 167.6 0.446447 -0.0838215 1.20147 
0.17 267.334 100 -0.0238547 0.177952 155.778 167.334 0.446139 -0.0828209 1.20191 
0.171 267.07 100 -0.0240514 0.179017 155.69 167.07 0.445835 -0.0818316 1.20234 
0.172 266.811 100 -0.0242457 0.180082 155.604 166.811 0.445533 -0.0808533 1.20277 
0.173 266.554 100 -0.0244378 0.181146 155.518 166.554 0.445234 -0.0798861 1.20319 
0.174 266.301 100 -0.0246275 0.182209 155.434 166.301 0.444937 -0.0789298 1.20361 
0.175 266.051 100 -0.0248149 0.183272 155.35 166.051 0.444643 -0.0779843 1.20402 
0.176 265.804 100 -0.025 0.184333 155.268 165.804 0.444353 -0.0770495 1.20443 
0.177 265.56 100 -0.025183 0.185394 155.187 165.56 0.444065 -0.0761255 1.20483 
0.178 265.319 100 -0.0253637 0.186455 155.106 165.319 0.44378 -0.0752119 1.20523 
0.179 265.082 100 -0.0255423 0.187514 155.027 165.082 0.443498 -0.0743088 1.20563 
0.18 264.847 100 -0.0257187 0.188573 154.949 164.847 0.443219 -0.0734161 1.20602 
0.181 264.615 100 -0.0258929 0.189631 154.872 164.615 0.442942 -0.0725337 1.2064 
0.182 264.387 100 -0.0260651 0.190688 154.796 164.387 0.442669 -0.0716614 1.20678 
0.183 264.161 100 -0.0262352 0.191745 154.72 164.161 0.442399 -0.0707992 1.20716 
0.184 263.938 100 -0.0264032 0.192801 154.646 163.938 0.442132 -0.069947 1.20753 
0.185 263.718 100 -0.0265693 0.193856 154.573 163.718 0.441867 -0.0691047 1.20789 
0.186 263.5 100 -0.0267333 0.194911 154.5 163.5 0.441606 -0.0682721 1.20825 
0.187 263.286 100 -0.0268953 0.195965 154.429 163.286 0.441348 -0.0674492 1.20861 
0.188 263.074 100 -0.0270553 0.197018 154.358 163.074 0.441092 -0.0666359 1.20897 
0.189 262.865 100 -0.0272135 0.198071 154.288 162.865 0.44084 -0.0658321 1.20932 
0.19 262.658 100 -0.0273697 0.199123 154.219 162.658 0.44059 -0.0650376 1.20966 
0.191 262.454 100 -0.027524 0.200175 154.151 162.454 0.440343 -0.0642525 1.21 
0.192 262.253 100 -0.0276765 0.201225 154.084 162.253 0.4401 -0.0634765 1.21034 
0.193 262.054 100 -0.0278271 0.202276 154.018 162.054 0.439859 -0.0627096 1.21067 
0.194 261.858 100 -0.0279758 0.203325 153.953 161.858 0.439621 -0.0619518 1.211 
0.195 261.664 100 -0.0281228 0.204374 153.888 161.664 0.439386 -0.0612028 1.21133 
0.196 261.473 100 -0.028268 0.205423 153.824 161.473 0.439153 -0.0604626 1.21165 
0.197 261.284 100 -0.0284114 0.20647 153.761 161.284 0.438924 -0.0597312 1.21196 
0.198 261.097 100 -0.0285531 0.207518 153.699 161.097 0.438697 -0.0590084 1.21228 
0.199 260.913 100 -0.0286931 0.208564 153.638 160.913 0.438473 -0.0582941 1.21259 
0.2 260.731 100 -0.0288314 0.20961 153.577 160.731 0.438252 -0.0575882 1.21289 
0.201 260.552 100 -0.028968 0.210656 153.517 160.552 0.438034 -0.0568906 1.21319 
0.202 260.374 100 -0.0291029 0.211701 153.458 160.374 0.437818 -0.0562014 1.21349 
0.203 260.199 100 -0.0292362 0.212745 153.4 160.199 0.437605 -0.0555202 1.21379 
0.204 260.027 100 -0.0293679 0.213789 153.342 160.027 0.437394 -0.0548472 1.21408 
0.205 259.856 100 -0.029498 0.214833 153.285 159.856 0.437186 -0.0541821 1.21437 
0.206 259.687 100 -0.0296265 0.215875 153.229 159.687 0.436981 -0.0535249 1.21465 
0.207 259.521 100 -0.0297534 0.216918 153.174 159.521 0.436779 -0.0528754 1.21493 
0.208 259.357 100 -0.0298788 0.21796 153.119 159.357 0.436578 -0.0522338 1.21521 
0.209 259.195 100 -0.0300026 0.219001 153.065 159.195 0.436381 -0.0515997 1.21549 
0.21 259.034 100 -0.030125 0.220042 153.011 159.034 0.436186 -0.0509732 1.21576 
0.211 258.876 100 -0.0302459 0.221082 152.959 158.876 0.435993 -0.0503541 1.21602 
0.212 258.72 100 -0.0303653 0.222122 152.907 158.72 0.435803 -0.0497424 1.21629 
0.213 258.566 100 -0.0304832 0.223161 152.855 158.566 0.435615 -0.049138 1.21655 
0.214 258.414 100 -0.0305997 0.2242 152.805 158.414 0.43543 -0.0485407 1.21681 
0.215 258.264 100 -0.0307148 0.225238 152.755 158.264 0.435247 -0.0479507 1.21706 
0.216 258.115 100 -0.0308284 0.226276 152.705 158.115 0.435066 -0.0473676 1.21732 
0.217 257.969 100 -0.0309407 0.227314 152.656 157.969 0.434888 -0.0467915 1.21756 
0.218 257.824 100 -0.0310517 0.228351 152.608 157.824 0.434712 -0.0462223 1.21781 
0.219 257.681 100 -0.0311612 0.229387 152.56 157.681 0.434538 -0.0456599 1.21805 
0.22 257.54 100 -0.0312695 0.230423 152.513 157.54 0.434367 -0.0451042 1.21829 
0.221 257.401 100 -0.0313764 0.231459 152.467 157.401 0.434197 -0.0445552 1.21853 
0.222 257.263 100 -0.031482 0.232494 152.421 157.263 0.43403 -0.0440127 1.21876 
0.223 257.127 100 -0.0315863 0.233529 152.376 157.127 0.433865 -0.0434767 1.219 
0.224 256.993 100 -0.0316893 0.234563 152.331 156.993 0.433702 -0.0429472 1.21923 
0.225 256.861 100 -0.0317911 0.235597 152.287 156.861 0.433541 -0.0424239 1.21945 
0.226 256.73 100 -0.0318917 0.236631 152.243 156.73 0.433383 -0.041907 1.21967 
0.227 256.601 100 -0.031991 0.237664 152.2 156.601 0.433226 -0.0413963 1.21989 
0.228 256.474 100 -0.0320891 0.238696 152.158 156.474 0.433071 -0.0408917 1.22011 
0.229 256.348 100 -0.032186 0.239729 152.116 156.348 0.432919 -0.0403931 1.22033 
0.23 256.223 100 -0.0322817 0.240761 152.074 156.223 0.432768 -0.0399005 1.22054 
0.231 256.101 100 -0.0323762 0.241792 152.034 156.101 0.432619 -0.0394139 1.22075 
0.232 255.979 100 -0.0324696 0.242823 151.993 155.979 0.432472 -0.0389331 1.22096 
0.233 255.86 100 -0.0325619 0.243854 151.953 155.86 0.432327 -0.038458 1.22116 
0.234 255.742 100 -0.032653 0.244884 151.914 155.742 0.432184 -0.0379887 1.22136 
0.235 255.625 100 -0.032743 0.245914 151.875 155.625 0.432043 -0.037525 1.22156 
0.236 255.51 100 -0.0328319 0.246944 151.837 155.51 0.431904 -0.037067 1.22176 
0.237 255.396 100 -0.0329197 0.247973 151.799 155.396 0.431766 -0.0366144 1.22196 
0.238 255.284 100 -0.0330064 0.249002 151.761 155.284 0.431631 -0.0361672 1.22215 
0.239 255.173 100 -0.0330921 0.250031 151.724 155.173 0.431497 -0.0357255 1.22234 
0.24 255.063 100 -0.0331767 0.251059 151.688 155.063 0.431364 -0.0352891 1.22253 
0.241 254.955 100 -0.0332603 0.252087 151.652 154.955 0.431234 -0.0348579 1.22271 
0.242 254.848 100 -0.0333429 0.253114 151.616 154.848 0.431105 -0.034432 1.2229 
0.243 254.743 100 -0.0334245 0.254141 151.581 154.743 0.430978 -0.0340111 1.22308 
