epsilon_a sigma_a sigma_r epsilon_r epsilon_s p q x x
0.0014 106.369787 100 0.0006409866667 0.001186337778 102.1232623 6.369786957 3.312490617 1.789762038 
0.00142 106.4607839 100 0.000650143619 0.00120328546 102.1535946 6.460783913 3.312490617 1.789762038 
0.00144 106.5517809 100 0.0006593005714 0.001220233143 102.183927 6.55178087 3.312490617 1.789762038 
0.00146 106.6427778 100 0.0006684575238 0.001237180825 102.2142593 6.642777826 3.312490617 1.789762038 
0.00148 106.7337748 100 0.0006776144762 0.001254128508 102.2445916 6.733774783 3.312490617 1.789762038 
0.0015 106.8247717 100 0.0006867714286 0.00127107619 102.2749239 6.824771739 3.312490617 1.789762038 
0.00152 106.9157687 100 0.000695928381 0.001288023873 102.3052562 6.915768696 3.312490617 1.789762038 
0.00154 107.0067657 100 0.0007050853333 0.001304971556 102.3355886 7.006765652 3.312490617 1.789762038 
0.00156 107.0977626 100 0.0007142422857 0.001321919238 102.3659209 7.097762609 3.312490617 1.789762038 
0.00158 107.1887596 100 0.0007233992381 0.001338866921 102.3962532 7.188759565 3.312490617 1.789762038 
0.0016 107.2797565 100 0.0007325561905 0.001355814603 102.4265855 7.279756522 3.312490617 1.789762038 
0.00162 107.3707535 100 0.0007417131429 0.001372762286 102.4569178 7.370753478 3.312490617 1.789762038 
0.00164 107.4617504 100 0.0007508700952 0.001389709968 102.4872501 7.461750435 3.312490617 1.789762038 
0.00166 107.5527474 100 0.0007600270476 0.001406657651 102.5175825 7.552747391 3.312490617 1.789762038 
0.00168 107.6437443 100 0.000769184 0.001423605333 102.5479148 7.643744348 3.312490617 1.789762038 
0.0017 107.7347413 100 0.0007783409524 0.001440553016 102.5782471 7.734741304 3.312490617 1.789762038 
0.00172 107.8257383 100 0.0007874979048 0.001457500698 102.6085794 7.825738261 3.312490617 1.789762038 
0.00174 107.9167352 100 0.0007966548571 0.001474448381 102.6389117 7.916735217 3.312490617 1.789762038 
0.00176 108.0077322 100 0.0008058118095 0.001491396063 102.6692441 8.007732174 3.312490617 1.789762038 
0.00178 108.0987291 100 0.0008149687619 0.001508343746 102.6995764 8.09872913 3.312490617 1.789762038 
0.0018 108.1897261 100 0.0008241257143 0.001525291429 102.7299087 8.189726087 3.312490617 1.789762038 
0.00182 108.280723 100 0.0008332826667 0.001542239111 102.760241 8.280723043 3.312490617 1.789762038 
0.00184 108.37172 100 0.000842439619 0.001559186794 102.7905733 8.37172 3.312490617 1.789762038 
0.00186 108.462717 100 0.0008515965714 0.001576134476 102.8209057 8.462716957 3.312490617 1.789762038 
0.00188 108.5537139 100 0.0008607535238 0.001593082159 102.851238 8.553713913 3.312490617 1.789762038 
0.0019 108.6447109 100 0.0008699104762 0.001610029841 102.8815703 8.64471087 3.312490617 1.789762038 
0.00192 108.7357078 100 0.0008790674286 0.001626977524 102.9119026 8.735707826 3.312490617 1.789762038 
0.00194 108.8267048 100 0.000888224381 0.001643925206 102.9422349 8.826704783 3.312490617 1.789762038 
0.00196 108.9177017 100 0.0008973813333 0.001660872889 102.9725672 8.917701739 3.312490617 1.789762038 
0.00198 109.0086987 100 0.0009065382857 0.001677820571 103.0028996 9.008698696 3.312490617 1.789762038 
0.002 109.0996957 100 0.0009156952381 0.001694768254 103.0332319 9.099695652 3.312490617 1.789762038 
0.00202 109.1906926 100 0.0009248521905 0.001711715937 103.0635642 9.190692609 3.312490617 1.789762038 
0.00204 109.2816896 100 0.0009340091429 0.001728663619 103.0938965 9.281689565 3.312490617 1.789762038 
